institution_name,institution_type,province,city,street,postal_code,phone,email,website,program_categories,is_public,directory_id,created_at,source
Groupe SystÈMe ForÃ£ÂŠT Inc.,training_provider,QC,Levis,200-1120 boul. Guillaume-Couture,G6W 5M6,(581) 500-2660,,http://www.gsf.ca/,,True,9f668718-5c81-416c-aa8d-30543006520b,2026-01-10T13:15:04.732077+00:00,excel_import
Centre Meta Contact Inc.,training_provider,QC,Longueuil,1765 rue Coderre,J3Y 4N4,(450) 676-5683,info@centremetacontact.com,https://centremetacontact.com/,,True,99c565f8-2a98-41ea-9713-c608c7295d66,2026-01-10T13:15:04.732826+00:00,excel_import
Centre Pluridisciplinaire D'Aviation Du QuÉBec Inc.,training_provider,QC,Longueuil,4850 route de l'aéroport de Saint-Hubert,J3Y 8Y9,(450) 443-4555,,http://sainthubertflyingschool.com/,,True,76c8aefc-3049-4537-9ef0-21c08c4e0315,2026-01-10T13:15:04.733556+00:00,excel_import
ÉCole De Pilotage Saint-Hubert Inc.,training_provider,QC,Longueuil,5680 route de l'Aéroport,J3Y 8Y9,(450) 443-4555,,http://sainthubertflyingschool.com/,,True,8dfc31a8-9615-43d5-9ca6-e1e29917ccf5,2026-01-10T13:15:04.734374+00:00,excel_import
Helicraft,training_provider,QC,Longueuil,6500 chemin de la Savane,J3Y 8Y9,(514) 686-7046,,https://helicraft.ca/,Other,True,446431db-53f4-4235-bdc2-41d51fed0472,2026-01-10T13:15:04.735201+00:00,excel_import
ÉCole HÃ£Â”TeliÈRe De La MontÉRÉGie,training_provider,QC,Longueuil,4100 chemin de la Savane,J3Y 9G4,(450) 670-9070,ehm@cssmv.gouv.qc.ca,https://ehmonteregie.ca/,Other,True,0ae68eb0-c623-4661-8488-5eb269b3b8a7,2026-01-10T13:15:04.735970+00:00,excel_import
Centre De Formation Professionnelle D'ÉLectrolyse Et D'EsthÉTique,training_provider,QC,Longueuil,1428 chemin de Chambly,J4J 3X3,(450) 677-5605,cfpee450@gmail.com; plaintes-pne@pne.gouv.qc.ca,http://cfpee.ca/,,True,95676c1c-7da7-4907-bea8-34a4044c4687,2026-01-10T13:15:04.736757+00:00,excel_import
ÉCole Et Distribution All Nail And Beauty,training_provider,QC,Longueuil,621 Curé Poirier Ouest,J4J 5H2,(514) 885-6217,support@allnailandbeauty.com,http://www.allnailandbeauty.com/,,True,dc176a19-7c75-4a6d-9dbe-5690457aac26,2026-01-10T13:15:04.737501+00:00,excel_import
ÉCole De Conduite Caa-QuÉBec - Longueuil,training_provider,QC,Longueuil,2904 ch. de Chambly,J4L 1N1,(450) 670-8555,ecoledeconduite@caaquebec.com,https://ecoledeconduite.caaquebec.com/fr/trouver-une-ecole/repertoire-ecoles-caa-quebec/fiche/ecole/longueuil/,,True,4aa69556-7266-40a7-9a78-40ec11b35a42,2026-01-10T13:15:04.738223+00:00,excel_import
Centre De Formation Ligne De Vie,training_provider,QC,Longueuil,713 rue Radisson,J4L 4J5,(450) 550-8007,admissionfpea@cssmv.gouv.qc.ca,https://charlotte-tasse.ca/,Other,True,a745c959-04ce-49c8-922b-aaf690b0c77f,2026-01-10T13:15:04.738955+00:00,excel_import
Centre De Formation Professionnelle Pierre-Dupuy,training_provider,QC,Longueuil,1150 chemin du Tremblay,J4N 1A2,(450) 468-4000,centre_pierredupuy@cssmv.gouv.qc.ca,https://www.csmv.qc.ca/cfp-pierre-dupuy/,Other,True,22b3e2ca-1e12-4cd7-b450-f85d88f51f35,2026-01-10T13:15:04.739682+00:00,excel_import
"Diligence, Services De Coaching",training_provider,QC,Longueuil,575 rue Queen,J4V 1R4,(438) 924-2414,,http://karinedezielcoaching.com/,,True,f9525d10-90f2-4e4c-a9f9-21a8a42c6bc0,2026-01-10T13:15:04.740395+00:00,excel_import
AcadÉMie Coaching ÉLite,training_provider,QC,Longueuil,1527 Notre-Dame-des-Grâces,J4J 3G3,(514) 797-5982,info@coachingelite.com,http://academie-coaching-elite.com/,IT,True,f9f7ea65-d903-4359-89ab-9776ac6829f1,2026-01-10T13:15:04.741149+00:00,excel_import
AcadÉMie De L'Entrepreneurship QuÉBÉCois Inc.,training_provider,QC,Longueuil,104-4660  Montée St-Hubert,J3Y 1V1,(514) 360-7179,,http://www.academie-ent.com/,IT,True,533090e1-47d1-4c9c-b7b7-2032f10fc4fc,2026-01-10T13:15:04.741894+00:00,excel_import
AÉRo Club De Longueuil Inc.,training_provider,QC,Longueuil,05FL1-1000  Boul. Marie Victorin,J4G 1A1,(514) 519-3011,admin@aeroclublongueuil.ca; info@aeroclublongueuil.ca,http://www.aeroclublongueuil.ca/,,True,e464fbf9-9f8a-45e5-b15f-6b9800550c2d,2026-01-10T13:15:04.742597+00:00,excel_import
AÉRoclub De MontrÉAl Inc. O/S Air Richelieu,training_provider,QC,Longueuil,5800  route de l'Aéroport,J3Y 8Y9,(450) 445-4444,info@airrichelieu.com,http://airrichelieu.ca/,"IT, Arts",True,e2182acd-dd9b-4afb-8dc9-95bd2c8afd44,2026-01-10T13:15:04.743310+00:00,excel_import
Cargair LtÉE,training_provider,QC,Longueuil,6100 route de l'Aéroport,J3Y 8Y9,(450) 656-4783,,http://www.cargair.com/,,True,eabdc9d8-3918-42a2-81c9-7452e6015d50,2026-01-10T13:15:04.744026+00:00,excel_import
Centre De Formation Professionnelle Charlotte-TassÉ,training_provider,QC,Longueuil,101 Boul. Roland-Therrien,J4H 4B9,(450) 550-8007,admissionfpea@cssmv.gouv.qc.ca,https://charlotte-tasse.ca/,Other,True,da6aa6f3-beda-4b87-bb20-b0971fe67491,2026-01-10T13:15:04.744780+00:00,excel_import
CollÈGe Des Professions FinanciÈRes Inc.,college,QC,Longueuil,212-110 rue de la Barre,J4K 1A3,(514) 303-7727,,https://www.collegedesprofessionsfinancieres.ca/,"Education, Healthcare, IT, Real Estate",True,bfa498f7-40b7-49fb-b0da-c0e4b76a6f0c,2026-01-10T13:15:04.745508+00:00,excel_import
ÉCole Satyam De Hatha Yoga,training_provider,QC,Longueuil,2462 rue Dollard,J4L 2P5,091 620 8359,ecolesatyam@gmail.com,http://yogasatyam.com/,,True,4f6b523d-911e-48dc-86d5-6907a9c601b8,2026-01-10T13:15:04.746242+00:00,excel_import
Wen Bo Dong O/S ÉCole Mtci,training_provider,QC,Longueuil,2447 boulevard Perron,J4L 2A5,(514) 838-6929,info@qigongfrancoisbibeau.com,http://www.qigongfrancoisbibeau.com/,,True,00f0cea5-ce7d-43b9-8b6a-ccfd1693d843,2026-01-10T13:15:04.747053+00:00,excel_import
ÉCole D'Anglais James Healy,training_provider,QC,Magog,1573 rue des Horizons,J1X 0G6,(819) 843-5240,,,,True,e4bc7abc-6f35-44f3-a314-7c2d47babcdc,2026-01-10T13:15:04.747776+00:00,excel_import
Kin Impact Inc.,training_provider,QC,Magog,150-2389 rue Principale Ouest,J1X 0J4,(819) 769-4111,info@kinimpact.com,http://www.kinimpact.com/,"Education, IT, Arts",True,636fdcad-8c49-4836-a119-3073b5c71a5c,2026-01-10T13:15:04.748633+00:00,excel_import
Studios Lyne St-Roch,training_provider,QC,Magog,201-270 rue Principale est,J1X 4X5,(819) 769-0424,info@lynestroch.com,http://www.lynestroch.com/,IT,True,385372b6-8f7a-4559-ae49-75fecc88073f,2026-01-10T13:15:04.749414+00:00,excel_import
Vega ÉCole De PolaritÉ,training_provider,QC,Magog,43 avenue des Ormes,J1X 5W3,(819) 843-4811,warren@example.com,https://www.espacebi.com/,,True,12f444fa-3ad3-4d4c-9e55-5d516f6566f9,2026-01-10T13:15:04.750154+00:00,excel_import
"H&R Block Canada Inc., MontéE Masson, Mascouche",training_provider,QC,Mascouche,166 montée Masson,J7K 3B5,(450) 474-7935,,https://www.hrblock.ca/stores/166-montee-masson/,,True,77407d12-dd60-44e7-bee8-730f87707a99,2026-01-10T13:15:04.750925+00:00,excel_import
Quebec HÉLicopteres Inc.,training_provider,QC,Mascouche,10-3320 avenue de la Gare,J7K 3C1,(450) 474-4888,,http://www.passport-helico.com/,Other,True,84aec4cc-0c54-461a-8133-963fdc9ad801,2026-01-10T13:15:04.751666+00:00,excel_import
QuÉBec HÉLicoptÈRes Inc. / Passport Helico,training_provider,QC,Mascouche,10-3320 avenue de la Gare,J7K 3C1,(450) 474-4888,,http://www.passport-helico.com/,Other,True,79673db2-9154-45f5-8a58-5d24a1a47f10,2026-01-10T13:15:04.752421+00:00,excel_import
Centre Le Reflet - Cfpra,training_provider,QC,Mascouche,2750 chemin St-Philippe,J7K 3C3,,,http://www.centrelereflet.com/,,True,c14654bd-48b8-4c6d-b5ab-9e0984481267,2026-01-10T13:15:04.753167+00:00,excel_import
Technique Mebp Inc.,training_provider,QC,Mascouche,3365 rue Vanier,J7K 1S2,(438) 503-5014,,http://mbcoaching.ca/,,True,4c93c73c-6c0e-4163-b878-daed0725242e,2026-01-10T13:15:04.753929+00:00,excel_import
Via Yoga,training_provider,QC,McMasterville,984 rue Hilaire Plante,J3G 6T8,(514) 618-1959,,http://www.yogaviriam.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=10282121872217712253,,True,854a7be3-3aae-4996-a2c7-3e3e10ca0e8d,2026-01-10T13:15:04.754735+00:00,excel_import
Centre De Formation Du Transport Routier Saint-JÉRome,training_provider,QC,Mirabel,17000 Rue Aubin,J7J 1B1,(877) 435-0167,cftr@cssrdn.gouv.qc.ca,http://www.cftr.ca/,"IT, Logistics",True,1ab3005c-474d-4e22-98ad-379d41b77167,2026-01-10T13:15:04.755515+00:00,excel_import
9365-6288 QuÉBec Inc. O/S OstÉO-Solution,training_provider,QC,Mirabel,9070 rue François Xavier Desèves,J7N 0C6,(450) 436-0077,info@osteo-solution.com,http://www.osteo-solution.com/,Arts,True,c8c7a107-6b5c-4780-9bf3-b49dfde2eeae,2026-01-10T13:15:04.756280+00:00,excel_import
AcadÉMie Des Pompiers,training_provider,QC,Mirabel,9401 Côte des Saints,J7N 2X4,(450) 258-4460,,http://academiedespompiers.ca/,Arts,True,40f6b0d1-bb4c-4f14-a5b2-c573edbb16fb,2026-01-10T13:15:04.757012+00:00,excel_import
AcadÉMie ÉNergie SantÉ,training_provider,QC,Mirabel,11360 Saint-Nicolas,J7N 1S1,,mlpelletier@energiesante.ca,https://energiesante.ca/,,True,29564e70-0cbe-43ea-933f-e35a36545beb,2026-01-10T13:15:04.757782+00:00,excel_import
Bilangues Inc.,training_provider,QC,Mirabel,12950 rue Henri-Bourassa,J7J 2K5,(450) 508-7800,,,,True,4786e690-962d-4a6c-8794-8cf5343ef5f1,2026-01-10T13:15:04.758489+00:00,excel_import
Formation Nord Sud,training_provider,QC,Mirabel,12100 Rang St-Rémi,J7N 2V2,(438) 827-7050,,http://www.formationnordsud.com/,Other,True,f891eb99-f04d-418a-936e-6c8d532811c1,2026-01-10T13:15:04.759187+00:00,excel_import
Massotherapie Sportive Marie-Claude Legare,training_provider,QC,Mirabel,12824 rue Pierre Perrin,J7N 0N1,(514) 804-2914,info@massotherapiesportive.ca,http://www.massotherapiesportive.ca/,Other,True,d95626e3-5363-4a54-85f3-f8bf6cbbd784,2026-01-10T13:15:04.759900+00:00,excel_import
Centre De Formation Professionnelle Mont-Joli Mitis,training_provider,QC,Mont-Joli,1414 rue des Érables,G5H 4A8,(418) 775-7577,,https://www.jesuispro.com/,IT,True,455b6d45-3bbd-400c-8b76-77048312e6cb,2026-01-10T13:15:04.760762+00:00,excel_import
Centre De Formation Professionnelle Mont-Laurier,training_provider,QC,Mont-Laurier,850 rue Taché,J9L 2K2,(866) 314-4111,,http://www.cfpml.qc.ca/,IT,True,32bea656-72e4-48bd-9b82-8189c93bb051,2026-01-10T13:15:04.761483+00:00,excel_import
Ateliers D'Anglais Jeannie Chabot,training_provider,QC,Montmagny,1-55 avenue Valcourt,G5V 3R1,(418) 248-0181,,https://ceamontmagny-lisletnord.cscotesud.qc.ca/,,True,6f5660e2-39ed-438f-a234-d94a86e47536,2026-01-10T13:15:04.762182+00:00,excel_import
ÉCole Yoga Yuni,training_provider,QC,Montreal,155 Avenue Des Pins Est Bureau F,H2W 2N9,,yogayunimontreal@gmail.com,http://www.yogayuni.com/,,True,45725117-6a63-4d43-a4b0-c380cb492ebe,2026-01-10T13:15:04.762874+00:00,excel_import
Aisf - AcadÉMie International Du Savoir-Faire Inc.,training_provider,QC,Montreal,9403 rue de Grosbois,H1K 0E1,(514) 288-3282,,https://www.afscanada.org/,Other,True,828fe3ff-ff9c-481f-b34a-338e3a773851,2026-01-10T13:15:04.763590+00:00,excel_import
ÉGrÉGore,training_provider,QC,Montreal,1989 rue Gilford,H2H 2B5,(514) 292-0686,nancy@egregore.ca,http://www.egregore.ca/,,True,53724aea-41e8-4406-a1b8-98b3aede1872,2026-01-10T13:15:04.764290+00:00,excel_import
Rak Conseil,training_provider,QC,Montreal,320-4994 rue Beaubien est,H1T 1V4,(514) 299-6402,,,,True,b5ff3449-6df2-430d-9cba-8087be8b3ce5,2026-01-10T13:15:04.764975+00:00,excel_import
"Ordre Des Technologues En Imagerie Medicale, En Radio- Oncologie Et En Electrophysiologie Medicale",training_provider,QC,Montreal,"pièce 401, 6455  boulevard Jean-Talon Est",H1S 3E8,(514) 351-0052,,https://www.otimroepmq.ca/,,True,ee2dcc97-dea4-453b-8be2-928665af1b74,2026-01-10T13:15:04.765678+00:00,excel_import
Association De La Gestion De La Chaine D' Approvisionneurs Du QuÉBec,training_provider,QC,Montreal,bureau 403  2030 boul. Pie-IX,H1V 2C8,(514) 343-6111,,http://adasum.com/,,True,9e5ff208-8b11-435c-ace2-d2c1373320a5,2026-01-10T13:15:04.766374+00:00,excel_import
Centre De Relation D'Aide De Montreal Inc.,training_provider,QC,Montreal,bureau 205  1030 rue Cherrier Est,H2L 1H9,(514) 598-7758,,https://www.cramformation.com/,,True,8f1054d6-6846-46f3-bcf7-40e84bd40df8,2026-01-10T13:15:04.767063+00:00,excel_import
Association QuÉBÉCoise Plaidoyer-Victimes,training_provider,QC,Montreal,bureau 206  8615 boulevard Saint-Laurent,H2P 2M9,(514) 526-9037,aqpv@aqpv.ca,http://www.aqpv.ca/,,True,8e4b605b-e0f0-4c81-a337-b1ef1fa288ca,2026-01-10T13:15:04.767754+00:00,excel_import
Ordre Professionnelle Des Technologistes Medicaux Du QuÉBec,training_provider,QC,Montreal,Bureau 1400  1050 côte du Beaver Hall,H2Z 0A5,(514) 527-9811,,https://www.optmq.org/,Other,True,53c3da24-0668-435c-b88b-c527423cb6bc,2026-01-10T13:15:04.768445+00:00,excel_import
Ordre Professionnelle Des Technologistes Medicaux Du QuÉBec,training_provider,QC,Montreal,Bureau 1400  1050 côte du Beaver Hall,H2Z 0A5,(514) 527-9811,,https://www.optmq.org/,Other,True,53576710-ce1b-45e0-a3c4-a122e09097ab,2026-01-10T13:15:04.769145+00:00,excel_import
Mouvement Qubacois De La Qualita,training_provider,QC,Montreal,bureau 555  555 boulevard René-Lévesque Ouest,H2Z 1B1,(514) 874-9933,,https://www.qualite.qc.ca/,Other,True,1c754002-f19a-4548-9536-03c470a9ab24,2026-01-10T13:15:04.769852+00:00,excel_import
Cole Internationale De Langues Des Ymca Du Quebec,training_provider,QC,Montreal,5 étage  1440 rue Stanley,H3A 1P3,(514) 687-9622,,https://www.ymcalangues.com/,Other,True,886b81a4-354d-41f2-b5e1-4ef1cbd6e12c,2026-01-10T13:15:04.770723+00:00,excel_import
"H&R Block Canada Inc., Ste-Catherine W., Montreal",training_provider,QC,Montreal,Unit 1601  585 Ste-Catherine Street West,H3B 3Y5,(514) 934-0458,,https://www.hrblock.ca/stores/4086-rue-sainte-catherine-o/,,True,d9bbe209-4cc6-41d6-bab2-783b94228564,2026-01-10T13:15:04.771415+00:00,excel_import
Ordre Des Conseillers En Ressources Humaines Et En Relations Industrielles AgrÉEs Du Qc,training_provider,QC,Montreal,Suite 1400  1200 avenue McGill College,H3B 4G7,(514) 879-1636,,http://ordrecrha.org/,,True,db911ad2-fc9e-4a9f-a689-80226a7078c2,2026-01-10T13:15:04.772141+00:00,excel_import
Institut MÉDialangue International Inc.,training_provider,QC,Montreal,112-560 boul. Henri-Bourassa Ouest,H3L 1P4,(514) 334-1819,,https://www.medialangues-intl.com/,,True,8e7748d1-b012-4c5a-8527-d65b8083e47a,2026-01-10T13:15:04.772846+00:00,excel_import
La Brigade Canine Inc.,training_provider,QC,Montreal,11889 rue Notre-Dame est,H1B 2Y2,(514) 645-2020,info@ecolebrigadecanine.com,https://www.ecolebrigadecanine.com/,Other,True,81aa360b-d087-40ce-951a-ec7b5d22119f,2026-01-10T13:15:04.773535+00:00,excel_import
ÉCole De Routier Professionnel Du QuÉBec,training_provider,QC,Montreal,12305 boulevard Métropolitain Est,H1B 5R3,,,https://www.techni-data.com/,Other,True,816faef8-1035-4925-9179-62151680e312,2026-01-10T13:15:04.774243+00:00,excel_import
L'ÉCole De L'Automobile,training_provider,QC,Montreal,7555 boulevard Henri-Bourassa Est,H1E 1N9,(514) 725-6026,info@ecoleauto.com,http://www.ecoleauto.com/,Other,True,332cdfd9-1264-4449-a10f-57cd5b2f702a,2026-01-10T13:15:04.774964+00:00,excel_import
"H&R Block Canada Inc., Henri-Bourassa Blvd. E., MontréAl",training_provider,QC,Montreal,6063 Henri-Bourassa blvd. E.,H1G 2V2,(514) 328-7979,,https://www.hrblock.ca/stores/6025-boul-henri-bourassa-e/,,True,1f10a21c-40cd-423a-839b-4d01962c34cc,2026-01-10T13:15:04.775685+00:00,excel_import
CollÈGe De Medecine Vivante,college,QC,Montreal,5315 rue Amos,H1G 2X9,(514) 561-9463,,https://ccimcollege.com/,,True,7ca34742-9558-40cc-bbb2-fdb11ecc8dd8,2026-01-10T13:15:04.776515+00:00,excel_import
ÉCole D'EsthÉTique Et D'ÉLectrolyse France Laure Inc.,training_provider,QC,Montreal,11970 boul. Albert-Hudon,H1G 3K3,(514) 335-0023,info@francelaure.ca,http://www.francelaure.ca/,Other,True,cbfe90c1-7e03-45ba-a866-5db3aa9070df,2026-01-10T13:15:04.777513+00:00,excel_import
Centre De Services Scolaire De La Pointe-De-L'ÎLe O/S Centre Anjou,training_provider,QC,Montreal,5515 rue de l'Aréna,H1K 4C9,(514) 642-9520,,https://csspi.gouv.qc.ca/,,True,153c34aa-a42a-4b62-a4f9-05894a4e7e8c,2026-01-10T13:15:04.778618+00:00,excel_import
Centre Ganga Yoga Inc.,training_provider,QC,Montreal,A-8690 rue Hochelaga,H1L 2M6,(514) 333-9939,info@centregangayoga.com,https://www.centregangayoga.com/,,True,ed4da899-9d6f-472f-a013-f59148ee9370,2026-01-10T13:15:04.779719+00:00,excel_import
Ordre Professionnel De La PhysiothÉRapie Du Quebec,training_provider,QC,Montreal,700-7151 rue Jean-Talon Est,H1M 3N8,(514) 351-2770,,https://oppq.qc.ca/,,True,6837040c-aa65-4b8c-8ca7-49fd07392e84,2026-01-10T13:15:04.780637+00:00,excel_import
Solution Reva,training_provider,QC,Montreal,9455 boulevard Lacordaire,H1R 3E8,(604) 428-7548,,https://www.revasolutions.com/,,True,a94bcc2b-f3bd-4488-a5f9-e13402628844,2026-01-10T13:15:04.785785+00:00,excel_import
Centre De Ressourcement Plus,training_provider,QC,Montreal,7097 rue Valdombre,H1S 1W8,(514) 251-1411,,,,True,9ddeaf53-f142-4996-9347-b8d915ec3c7f,2026-01-10T13:15:04.787106+00:00,excel_import
Institut Linguistique Provincial Inc.,training_provider,QC,Montreal,4930 rue Hochelaga,H1V 1E7,(514) 254-6011,,https://institutlinguistique.ca/?utm_source=google&utm_medium=my-business,IT,True,61e59d81-be71-4d82-a2c7-70e9495fad7e,2026-01-10T13:15:04.788199+00:00,excel_import
Institut National Du Sport Du Quebec,training_provider,QC,Montreal,4141 avenue Pierre-De Coubertin,H1V 3N7,(514) 255-1000,info@insquebec.org,http://www.insquebec.org/,Other,True,8d128fa3-2d67-4267-bc3b-fece176f08db,2026-01-10T13:15:04.790879+00:00,excel_import
"ÉCole Des MÉTiers De L'Informatique, Du Commerce Et De L'Administration - Emica - Csm",training_provider,QC,Montreal,3955 rue de Bellechasse,H1X 1J6,(514) 596-4150,emica@cssdm.gouv.qc.ca,https://emica.cssdm.gouv.qc.ca/,Other,True,f56efef2-7a48-4a4a-8726-2d59ef7aa2f9,2026-01-10T13:15:04.791992+00:00,excel_import
Les Anges De L'Espoir Aci,training_provider,QC,Montreal,8052 Boulevard St-Michel,H1Z 3E1,(514) 727-2643,lesangesdelespoirdhceu@gmail.com,https://www.angesdelespoir-aci.com/,Other,True,7ac528d1-1bdc-4cf3-ab03-3af18e6d909f,2026-01-10T13:15:04.793085+00:00,excel_import
ÉCole Nationale De Cirque,training_provider,QC,Montreal,8181 avenue du Cirque,H1Z 4N9,(514) 982-0859,,https://ecolenationaledecirque.ca/,"IT, Arts",True,5be8872e-212b-45bd-bf89-094305aea082,2026-01-10T13:15:04.794189+00:00,excel_import
Centre OstÉOpathique Du QuÉBec (C.O.Q.),training_provider,QC,Montreal,103-2210 boul. Henri-Bourassa Est,H2B 1T3,(514) 384-1271,,http://coq.org/,,True,7619b624-0f5a-45cb-ac39-218fc1788ca1,2026-01-10T13:15:04.795289+00:00,excel_import
E.D.L. International Inc.,training_provider,QC,Montreal,10706 avenue Bruchési,H2B 2S9,(514) 895-3740,edl@bell.net,https://www.edlsolutions.com/contact,,True,9868d629-f479-40db-98b8-332484923649,2026-01-10T13:15:04.796485+00:00,excel_import
ÉCole Giovanni Pascoli,training_provider,QC,Montreal,220-1586 rue Fleury Est,H2C 1S6,(514) 940-1112,,https://www.italian-courses-montreal.com/,"Education, Healthcare, IT",True,88a07692-5e04-45cb-9dc1-8b582685a5a5,2026-01-10T13:15:04.797646+00:00,excel_import
Ecole D'Espagnol Don Quichotte,training_provider,QC,Montreal,308-2348 rue Jean Talon Est,H2E 1V9,(514) 503-3800,,http://www.coursespagnoldq.com/,,True,cc056cd2-0de9-4c81-83ce-edec86ab6c4d,2026-01-10T13:15:04.798719+00:00,excel_import
ÉCole De Massage Professionnel A Fleur De Peau Enr.,training_provider,QC,Montreal,2464 rue Jean-Talon Est,H2E 1W2,(514) 728-1583,info@ecoledemassage.ca,http://ecoledemassage.ca/,,True,e48d7188-e188-4416-8203-149c6ad6eda3,2026-01-10T13:15:04.799783+00:00,excel_import
Centre QuÉBÉCois De Programmation Neuro Linguistique Inc.,training_provider,QC,Montreal,4848 rue Papineau,H2H 1V6,(514) 281-7553,,https://centrepnl.com/,Other,True,be945ee0-e799-4e02-aab6-d74aec0dc0ac,2026-01-10T13:15:04.800866+00:00,excel_import
L'ÉCole SupÉRieure De Ballet Du QuÉBec,training_provider,QC,Montreal,4816 rue Rivard,H2J 2N6,(514) 849-4929,,https://www.esbq.ca/,IT,True,dd52e017-8c2e-484f-97e5-925e1f7c21b9,2026-01-10T13:15:04.802035+00:00,excel_import
"Videographe Inc. - MontrÉAl, Qc",training_provider,QC,Montreal,4550 rue Garnier,H2J 3S7,(514) 587-2572,create@cataroundfilms.com; Create@CatAroundFilms.com,http://www.cataroundfilms.com/,,True,dbf8d3db-ce30-4302-8498-e6e59f9d715c,2026-01-10T13:15:04.803098+00:00,excel_import
ÉCole Nationale De L'Humour,training_provider,QC,Montreal,2120 rue Sherbrooke E. 7e étage,H2K 1C3,(514) 849-7876,,https://enh.qc.ca/,"Healthcare, IT, Arts",True,c2b75f8b-cb4f-4bad-9006-817ea3c842f4,2026-01-10T13:15:04.804155+00:00,excel_import
Institut BiogÉNique C.E.N.A.B. Inc.,training_provider,QC,Montreal,841 rue Cherrier,H2L 1H6,(514) 488-3881,,http://www.biothermica.com/,,True,ba0fd6a2-a36c-41f0-bf79-91cd400c38cb,2026-01-10T13:15:04.805209+00:00,excel_import
CollÈGe April-Fortier Inc.,college,QC,Montreal,350 - 1001 rue Shrebrooke Est,H2L 1L3,(514) 878-1414,info@april-fortier.com,https://www.april-fortier.com/,,True,01385db0-9026-40ae-881f-97e07003e88e,2026-01-10T13:15:04.806254+00:00,excel_import
"Formation, ConfÉRence, Consultation Line TrÉPanier",training_provider,QC,Montreal,1204-3555 rue Berri,H2L 4G4,(514) 629-5466,,,,True,cb47539e-a87b-46d9-b518-8743bfa526d8,2026-01-10T13:15:04.807301+00:00,excel_import
CollÈGe Andre-Grasset (1973) Inc.,college,QC,Montreal,1001 boul. Crémazie Est,H2M 1M3,(514) 381-4293,,https://www.grasset.qc.ca/,IT,True,ff663447-fb03-4c09-9684-10d5181fa8d6,2026-01-10T13:15:04.808391+00:00,excel_import
Forum PhysiothÉRapie S.E.N.C.,training_provider,QC,Montreal,203-8455 St-Dominique,H2P 2L4,,,http://forumphysiotherapie.ca/,Education,True,ef1a9661-c7af-4b74-b155-64c0faf473a8,2026-01-10T13:15:04.809442+00:00,excel_import
Institut De Core Energetics De MontrÉAl Inc./Montreal Institute Of Core Energetics Inc.,training_provider,QC,Montreal,8625 rue Waverly,H2P 2R2,(514) 609-5969,,https://coreenergetics.ca/,"Education, Business, IT",True,622cdb08-7ed4-461e-ab78-aaf6116d6875,2026-01-10T13:15:04.810499+00:00,excel_import
Soham Yoga Inc.,training_provider,QC,Montreal,306 rue Villeray,H2R 1G7,(514) 678-5210,sophie@soham-yoga.com,http://www.soham-yoga.com/,,True,52ae0cca-ff03-42f2-b952-e2ef3d9a3634,2026-01-10T13:15:04.811538+00:00,excel_import
KinÉ-Concept Inc.,training_provider,QC,Montreal,760 rue St-Zotique E,H2S 1M5,(514) 274-5557,,,,True,5878ced3-c84e-4679-9de2-a5354ed8d4f5,2026-01-10T13:15:04.812594+00:00,excel_import
ÉCole De Technique Alexander De MontrÉAl,training_provider,QC,Montreal,141 avenue du Mont-Royal Est,H2T 1N9,(438) 409-3243,,https://techniquealexandermontreal.ca/,,True,3a4de0e9-faa0-4f12-ba72-321ae43c43bf,2026-01-10T13:15:04.813634+00:00,excel_import
Le Wagon MontrÉAl,training_provider,QC,Montreal,102-5333 avenue Casgrain,H2T 1X3,(438) 834-0533,,https://www.lewagon.com/montreal,"Education, Community, IT, Childcare, Arts",True,966d4d96-d037-4008-8cbf-3de47754c90c,2026-01-10T13:15:04.814684+00:00,excel_import
Centre Lotus Palm,training_provider,QC,Montreal,5244 rue St-Urbain,H2T 2W9,(514) 270-5713,info@lotuspalm.com,http://www.lotuspalm.com/,"Education, Healthcare, IT, Beauty",True,f1d6787d-f174-485a-afd4-0f9ff0cc64c7,2026-01-10T13:15:04.815756+00:00,excel_import
ÉCole De Biodanza Srt,training_provider,QC,Montreal,5359 rue Waverly,H2T 2X8,,,,,True,130c47d6-f42c-4554-9a4d-b59530431725,2026-01-10T13:15:04.816796+00:00,excel_import
Lighthouse Labs - Montreal,training_provider,QC,Montreal,710-5455 avenue de Gaspé,H2T 3B3,(888) 569-6898,UvaroLHL@glassratner.com; rwilliams@glassratner.com; eklein@glassratner.com,http://lighthouselabs.ca/montreal?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=montreal,Other,True,df17e968-d7ae-4be0-a79f-3d9982c95e00,2026-01-10T13:15:04.817853+00:00,excel_import
ÉCole D'Enseignement Superieur De Naturopathie Du Quebec (Eesnq),training_provider,QC,Montreal,202-3875 rue St-Urbain,H2W 1T9,(514) 270-7529,orientation@eesnq.ca; info@eesnq.ca; clinique@eesnq.ca,http://www.eesnq.com/,Other,True,1f77c805-86d9-4eb6-8a99-7e89252e6325,2026-01-10T13:15:04.818904+00:00,excel_import
Institut National De L'Image Et Du Son (I.N.I.S.),training_provider,QC,Montreal,301 boulevard de Maisonneure E,H2X 1K1,(514) 285-1840,,https://www.inis.qc.ca/,,True,d7c70cc7-7408-4668-b681-04630443b590,2026-01-10T13:15:04.819933+00:00,excel_import
